id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Jul 29 - Aug 02, 2024",,11:30 AM - 7:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Jul 29 - Aug 02, 2024",,11:30 AM - 7:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Aug 05 - 09, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Aug 12 - 16, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Aug 19 - 23, 2024",,11:30 AM - 7:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Sep 16 - 20, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Sep 23 - 27, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Sep 30 - Oct 04, 2024",,8:30 AM - 7:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Oct 21 - 25, 2024",,ONLINE,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Oct 28 - Nov 01, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
